Cell_type,Cluster
OoCyte_1,OoCyte
OoCyte_2,OoCyte
OoCyte_3,OoCyte
Zygote_1,Zygote
Zygote_2,Zygote
Zygote_3,Zygote
2_Cell_embryo_1_Cell_1,2_Cell_embryo
2_Cell_embryo_1_Cell_2,2_Cell_embryo
2_Cell_embryo_2_Cell_1,2_Cell_embryo
2_Cell_embryo_2_Cell_2,2_Cell_embryo
2_Cell_embryo_3_Cell_1,2_Cell_embryo
2_Cell_embryo_3_Cell_2,2_Cell_embryo
4_Cell_embryo_1_Cell_1,4_Cell_embryo
4_Cell_embryo_1_Cell_2,4_Cell_embryo
4_Cell_embryo_1_Cell_3,4_Cell_embryo
4_Cell_embryo_1_Cell_4,4_Cell_embryo
4_Cell_embryo_2_Cell_1,4_Cell_embryo
4_Cell_embryo_2_Cell_2,4_Cell_embryo
4_Cell_embryo_2_Cell_3,4_Cell_embryo
4_Cell_embryo_2_Cell_4,4_Cell_embryo
4_Cell_embryo_3_Cell_1,4_Cell_embryo
4_Cell_embryo_3_Cell_2,4_Cell_embryo
4_Cell_embryo_3_Cell_3,4_Cell_embryo
4_Cell_embryo_3_Cell_4,4_Cell_embryo
8_Cell_embryo_1_Cell_1,8_Cell_embryo
8_Cell_embryo_1_Cell_2,8_Cell_embryo
8_Cell_embryo_1_Cell_3,8_Cell_embryo
8_Cell_embryo_1_Cell_4,8_Cell_embryo
8_Cell_embryo_2_Cell_1,8_Cell_embryo
8_Cell_embryo_2_Cell_2,8_Cell_embryo
8_Cell_embryo_2_Cell_3,8_Cell_embryo
8_Cell_embryo_2_Cell_4,8_Cell_embryo
8_Cell_embryo_2_Cell_5,8_Cell_embryo
8_Cell_embryo_2_Cell_6,8_Cell_embryo
8_Cell_embryo_2_Cell_7,8_Cell_embryo
8_Cell_embryo_2_Cell_8,8_Cell_embryo
8_Cell_embryo_3_Cell_1,8_Cell_embryo
8_Cell_embryo_3_Cell_2,8_Cell_embryo
8_Cell_embryo_3_Cell_3,8_Cell_embryo
8_Cell_embryo_3_Cell_4,8_Cell_embryo
8_Cell_embryo_3_Cell_5,8_Cell_embryo
8_Cell_embryo_3_Cell_6,8_Cell_embryo
8_Cell_embryo_3_Cell_7,8_Cell_embryo
8_Cell_embryo_3_Cell_8,8_Cell_embryo
Morulae_1_Cell_1,Morulae
Morulae_1_Cell_2,Morulae
Morulae_1_Cell_3,Morulae
Morulae_1_Cell_4,Morulae
Morulae_1_Cell_5,Morulae
Morulae_1_Cell_6,Morulae
Morulae_1_Cell_7,Morulae
Morulae_1_Cell_8,Morulae
Morulae_2_Cell_1,Morulae
Morulae_2_Cell_2,Morulae
Morulae_2_Cell_3,Morulae
Morulae_2_Cell_4,Morulae
Morulae_2_Cell_5,Morulae
Morulae_2_Cell_6,Morulae
Morulae_2_Cell_7,Morulae
Morulae_2_Cell_8,Morulae
Late_blastoCyst_1_Cell_1,Late_blastoCyst
Late_blastoCyst_1_Cell_2,Late_blastoCyst
Late_blastoCyst_1_Cell_3,Late_blastoCyst
Late_blastoCyst_1_Cell_4,Late_blastoCyst
Late_blastoCyst_1_Cell_5,Late_blastoCyst
Late_blastoCyst_1_Cell_6,Late_blastoCyst
Late_blastoCyst_1_Cell_7,Late_blastoCyst
Late_blastoCyst_1_Cell_8,Late_blastoCyst
Late_blastoCyst_1_Cell_9,Late_blastoCyst
Late_blastoCyst_1_Cell_10,Late_blastoCyst
Late_blastoCyst_1_Cell_11,Late_blastoCyst
Late_blastoCyst_1_Cell_12,Late_blastoCyst
Late_blastoCyst_2_Cell_1,Late_blastoCyst
Late_blastoCyst_2_Cell_2,Late_blastoCyst
Late_blastoCyst_2_Cell_3,Late_blastoCyst
Late_blastoCyst_2_Cell_4,Late_blastoCyst
Late_blastoCyst_2_Cell_5,Late_blastoCyst
Late_blastoCyst_2_Cell_6,Late_blastoCyst
Late_blastoCyst_2_Cell_7,Late_blastoCyst
Late_blastoCyst_2_Cell_8,Late_blastoCyst
Late_blastoCyst_2_Cell_9,Late_blastoCyst
Late_blastoCyst_2_Cell_10,Late_blastoCyst
Late_blastoCyst_3_Cell_1,Late_blastoCyst
Late_blastoCyst_3_Cell_2,Late_blastoCyst
Late_blastoCyst_3_Cell_3,Late_blastoCyst
Late_blastoCyst_3_Cell_4,Late_blastoCyst
Late_blastoCyst_3_Cell_5,Late_blastoCyst
Late_blastoCyst_3_Cell_6,Late_blastoCyst
Late_blastoCyst_3_Cell_7,Late_blastoCyst
Late_blastoCyst_3_Cell_8,Late_blastoCyst
